,Subject,Beta,etaPos,etaNeg,p1,p2,p3,p4,Actual Subject
0,0.0,27.67,0.019,0.051,-0.2,0.033,0.022,0.028,
1,1.0,26.177,0.014,0.352,-0.205,-0.041,0.026,0.022,109.0
2,2.0,26.555,0.049,0.311,0.073,0.018,-0.014,0.015,110.0
3,3.0,27.162,0.022,0.028,-0.678,0.017,-0.011,0.019,111.0
4,4.0,26.288,0.016,0.053,-0.315,-0.057,0.022,0.013,112.0
5,5.0,26.859,0.03,0.184,-0.491,-0.071,-0.004,0.024,113.0
6,6.0,26.331,0.026,0.073,-0.665,-0.035,-0.008,0.021,114.0
7,7.0,26.327,0.01,0.124,-0.26,-0.037,0.033,0.037,115.0
8,8.0,26.269,0.019,0.087,-0.454,-0.029,-0.0,0.036,116.0
9,9.0,26.722,0.016,0.034,-0.72,-0.027,0.03,0.013,125.0
10,10.0,26.661,0.018,0.061,-0.315,-0.024,0.01,-0.005,126.0
11,11.0,26.593,0.023,0.051,-0.332,-0.018,0.015,0.007,127.0
12,12.0,23.995,0.016,0.079,-0.353,0.016,0.02,0.04,128.0
13,13.0,27.247,0.011,0.045,-0.493,-0.007,0.011,0.029,117.0
14,14.0,24.758,0.012,0.05,-0.211,-0.019,0.004,0.04,118.0
15,15.0,19.792,0.028,0.164,0.017,-0.007,0.007,0.014,119.0
16,16.0,26.571,0.027,0.126,-0.093,-0.023,0.006,0.035,120.0
17,17.0,27.839,0.059,0.438,0.011,-0.061,-0.004,0.036,121.0
18,18.0,26.199,0.041,0.415,-0.041,-0.044,0.001,0.028,122.0
19,19.0,26.266,0.016,0.11,-0.176,0.012,-0.012,0.013,123.0
20,20.0,27.189,0.014,0.096,-1.096,0.003,0.007,-0.004,124.0
21,21.0,26.533,0.02,0.078,-0.144,-0.026,0.043,0.007,157.0
22,22.0,27.769,0.023,0.052,-0.328,-0.04,0.005,0.027,158.0
23,23.0,26.464,0.017,0.252,0.227,-0.071,0.01,0.016,159.0
24,24.0,26.458,0.028,0.423,0.063,-0.054,-0.019,0.001,160.0
