,Task,P1,P2,P3,P4
0,random_pindepstar_fit,0.002,0.0,0.0125,0.9855
1,random_pindepstar_fit,0.005,0.0055,0.2455,0.744
2,random_pindepstar_fit,0.0025,0.0025,0.102,0.893
3,random_pindepstar_fit,0.002,0.0025,0.0055,0.99
4,random_pindepstar_fit,0.001,0.0,0.0,0.999
5,random_pindepstar_fit,0.0035,0.005,0.0,0.9915
6,random_pindepstar_fit,0.0,0.0015,0.002,0.9965
7,random_pindepstar_fit,0.0025,0.003,0.005,0.9895
8,random_pindepstar_fit,0.0015,0.0015,0.9955,0.0015
9,random_pindepstar_fit,0.0035,0.0015,0.9245,0.0705
10,random_pindepstar_fit,0.0035,0.0035,0.0055,0.9875
11,random_pindepstar_fit,0.004,0.0025,0.0015,0.992
12,random_pindepstar_fit,0.002,0.006,0.008,0.984
13,random_pindepstar_fit,0.0025,0.0005,0.003,0.994
14,random_pindepstar_fit,0.003,0.0025,0.006,0.9885
15,random_pindepstar_fit,0.0065,0.0045,0.978,0.011
16,random_pindepstar_fit,0.0005,0.0,0.001,0.9985
17,random_pindepstar_fit,0.0045,0.0055,0.004,0.986
18,random_pindepstar_fit,0.004,0.0045,0.487,0.5045
19,random_pindepstar_fit,0.0005,0.003,0.0025,0.994
20,random_pindepstar_fit,0.0085,0.005,0.0765,0.91
21,random_pindepstar_fit,0.0045,0.0055,0.005,0.985
22,random_pindepstar_fit,0.003,0.003,0.0035,0.9905
23,random_pindepstar_fit,0.005,0.012,0.0055,0.9775
24,random_pindepstar_fit,0.0015,0.002,0.004,0.9925
25,random_pindepstar_fit,0.0035,0.0025,0.0035,0.9905
26,random_pindepstar_fit,0.002,0.004,0.002,0.992
27,random_pindepstar_fit,0.005,0.007,0.013,0.975
28,,0.0031250000000000006,0.003446428571428572,0.13935714285714282,0.8540714285714286
