,Beta,etaPos,etaNeg,m,b
0,3.904,0.025,0.077,0.043,0.456
1,1.986,0.03,0.171,0.041,0.723
2,2.609,0.018,0.059,0.033,1.115
3,2.759,0.045,0.504,0.035,1.601
4,3.207,0.002,0.107,0.031,1.45
5,2.919,0.006,0.062,0.043,0.922
6,2.474,0.004,0.227,0.037,0.63
7,3.081,0.013,0.047,0.039,0.838
8,2.373,0.022,0.186,0.034,1.355
9,3.855,0.105,0.197,0.04,0.869
10,2.707,0.026,0.601,0.02,1.214
11,2.051,0.033,0.052,0.035,0.57
12,1.922,0.043,0.039,0.031,1.249
13,2.573,0.034,0.103,0.037,0.655
14,3.578,0.008,0.033,0.045,0.744
15,3.972,0.001,0.142,0.032,1.7
16,4.319,0.003,0.15,0.042,1.342
17,2.302,0.04,0.66,0.032,0.988
18,3.283,0.043,0.302,0.043,1.216
19,2.139,0.005,0.333,0.029,0.916
20,2.688,0.008,0.651,0.039,1.177
21,2.854,0.009,0.402,0.017,1.277
22,3.325,0.016,0.065,0.034,1.223
23,2.889,0.074,0.109,0.04,0.965
24,2.655,0.014,0.754,0.038,0.783
25,2.928,0.059,0.278,0.027,1.056
26,3.931,0.003,0.083,0.047,1.194
27,2.704,0.003,0.388,0.032,1.267
