,Beta,eta,p1,p2,p3,p4
0,1.594,0.13,0.568,0.256,-0.002,0.083
1,2.513,0.017,-1.157,0.014,0.084,0.127
2,1.797,0.021,-0.326,-0.057,0.01,0.1
3,1.127,0.038,-0.436,0.26,-0.005,0.074
4,4.473,0.006,0.303,0.074,-0.025,0.071
5,2.551,0.024,-0.162,-0.268,-0.015,0.074
6,1.995,0.047,-1.345,0.151,0.047,0.034
7,3.377,0.019,-1.196,-0.059,-0.018,0.059
8,5.192,0.011,-0.504,0.091,-0.004,-0.015
9,1.817,0.049,-0.389,-0.217,0.048,0.063
10,2.146,0.016,0.299,0.009,0.004,0.067
11,2.406,0.024,-0.364,0.005,0.065,0.089
12,1.091,0.088,-0.584,0.153,-0.06,-0.008
13,4.693,0.005,-0.955,0.105,0.05,0.019
14,5.389,0.015,0.65,0.425,0.06,0.044
15,1.177,0.046,-0.824,-0.508,0.102,0.079
16,1.793,0.04,-0.463,-0.067,0.01,0.122
17,2.124,0.017,-0.837,0.07,0.075,0.037
18,1.768,0.01,-0.411,0.214,-0.007,0.072
19,2.025,0.01,-0.388,-0.338,0.023,0.086
20,3.38,0.026,-0.849,-0.195,-0.024,-0.003
21,12.15,0.005,1.546,0.677,0.083,0.117
22,1.765,0.015,0.768,-0.083,-0.006,0.006
23,3.863,0.007,-0.066,0.067,0.001,0.038
24,4.703,0.008,-0.419,0.094,0.029,0.008
25,2.742,0.011,-0.772,-0.293,0.017,0.029
26,2.458,0.02,-1.841,-0.099,0.007,-0.007
27,3.371,0.013,-0.856,-0.138,-0.042,0.025
